"station_european_code","component_caption","statistics_year","statistics_average_group","statistic_shortname","statistic_value","station_european_code","country_iso_code","country_name","station_city","longitude","latitude","altitude"
"ES0556A","O3",2012,"day","P50",63.958,"ES0556A","ES","Spain","SAN ROQUE",-5.376969,36.179431,9
"ES0584A","O3",2012,"day","P50",36.583,"ES0584A","ES","Spain","MONTCADA I REIXAC",2.188889,41.484444,35
"ES0587A","O3",2012,"day","P50",58.083,"ES0587A","ES","Spain","MUSKIZ",-3.113056,43.320833,30
"ES0622A","O3",2012,"day","P50",56.625,"ES0622A","ES","Spain","NÍJAR",-1.939911,36.940461,47
"ES0624A","O3",2012,"day","P50",71.542,"ES0624A","ES","Spain","NÍJAR",-2.038189,36.84745,50
"ES0625A","O3",2012,"day","P50",66.833,"ES0625A","ES","Spain","NÍJAR",-2.128189,36.93385,152
"ES0651A","O3",2012,"day","P50",66.667,"ES0651A","ES","Spain","CARTAGENA",-0.913333,37.603333,60
"ES0694A","O3",2012,"day","P50",43,"ES0694A","ES","Spain","SANT VICENÇ DELS HORTS",2.010556,41.393333,22
"ES0761A","O3",2012,"day","P50",49.75,"ES0761A","ES","Spain","CUADROS",-5.638889,42.715556,900
"ES0813A","O3",2012,"day","P50",68.125,"ES0813A","ES","Spain","CEROLLERA (LA)",-0.0575,40.841944,830
"ES0822A","O3",2012,"day","P50",60.958,"ES0822A","ES","Spain","HUELVA",-6.938069,37.279639,66
"ES0823A","O3",2012,"day","P50",69.542,"ES0823A","ES","Spain","PUNTA UMBRÍA",-6.964139,37.185681,1
"ES0824A","O3",2012,"day","P50",40.375,"ES0824A","ES","Spain","LANGREO",-5.703889,43.308889,220
"ES0825A","O3",2012,"day","P50",40.042,"ES0825A","ES","Spain","LANGREO",-5.689722,43.306389,216
"ES0873A","O3",2012,"day","P50",63,"ES0873A","ES","Spain","PALMAS DE GRAN CANARIA (LAS)",-15.416306,28.035117,22
"ES0879A","O3",2012,"day","P50",44.75,"ES0879A","ES","Spain","AVILÉS",-5.880833,43.551667,15
"ES0880A","O3",2012,"day","P50",31.083,"ES0880A","ES","Spain","AVILÉS",-5.941111,43.542222,10
"ES0886A","O3",2012,"day","P50",65.458,"ES0886A","ES","Spain","TELDE",-15.416092,28.029889,52
"ES0890A","O3",2012,"day","P50",40.333,"ES0890A","ES","Spain","SEVILLA",-6.0031,37.394519,17
"ES0892A","O3",2012,"day","P50",62.667,"ES0892A","ES","Spain","PALOS DE LA FRONTERA",-6.920269,37.199769,8
"ES0893A","O3",2012,"day","P50",54.833,"ES0893A","ES","Spain","SAN ROQUE",-5.411411,36.1821,2
"ES0901A","O3",2012,"day","P50",54.333,"ES0901A","ES","Spain","CAMBRE",-8.317222,43.235,160
"ES0905A","O3",2012,"day","P50",35.391,"ES0905A","ES","Spain","GETXO",-3.013333,43.354167,64
"ES1018A","O3",2012,"day","P50",45.458,"ES1018A","ES","Spain","TERRASSA",2.007778,41.555556,277
"ES1038A","O3",2012,"day","P50",42,"ES1038A","ES","Spain","TORRELAVEGA",-4.049722,43.346111,20
"ES1044A","O3",2012,"day","P50",53.715,"ES1044A","ES","Spain","ZARAGOZA",-0.871111,41.670278,195
"ES1047A","O3",2012,"day","P50",57.75,"ES1047A","ES","Spain","ZARAGOZA",-0.916111,41.651389,212
"ES1072A","O3",2012,"day","P50",56.375,"ES1072A","ES","Spain","LÍNEA DE LA CONCEPCIÓN (LA)",-5.348361,36.159369,1
"ES1076A","O3",2012,"day","P50",67.458,"ES1076A","ES","Spain","BARRIOS (LOS)",-5.435761,36.190481,26
"ES1094A","O3",2012,"day","P50",64.583,"ES1094A","ES","Spain","MAHÓN",4.259722,39.878056,65
"ES1095A","O3",2012,"day","P50",72.5,"ES1095A","ES","Spain","MAHÓN",4.253889,39.892222,55
"ES1096A","O3",2012,"day","P50",41.792,"ES1096A","ES","Spain","OURENSE",-7.876944,42.351944,132
"ES1117A","O3",2012,"day","P50",60.9,"ES1117A","ES","Spain","VILA-SECA",1.069167,41.113333,60
"ES1123A","O3",2012,"day","P50",58.542,"ES1123A","ES","Spain","CONSTANTÍ",1.218889,41.156111,87
"ES1125A","O3",2012,"day","P50",40.833,"ES1125A","ES","Spain","MANRESA",1.826111,41.731944,238
"ES1129A","O3",2012,"day","P50",68.417,"ES1129A","ES","Spain","CHIPRANA",-0.151667,41.258889,160
"ES1130A","O3",2012,"day","P50",70.583,"ES1130A","ES","Spain","ESCATRÓN",-0.326667,41.288333,175
"ES1131A","O3",2012,"day","P50",45.292,"ES1131A","ES","Spain","SANTA CRUZ DE TENERIFE",-16.260833,28.463611,75
"ES1132A","O3",2012,"day","P50",35.333,"ES1132A","ES","Spain","SANTA CRUZ DE TENERIFE",-16.266944,28.459722,95
"ES1133A","O3",2012,"day","P50",52.333,"ES1133A","ES","Spain","CANDELARIA",-16.374167,28.383056,145
"ES1135A","O3",2012,"day","P50",44.208,"ES1135A","ES","Spain","IGUALADA",1.627778,41.578889,284
"ES1137A","O3",2012,"day","P50",44.682,"ES1137A","ES","Spain","VIGO",-8.741944,42.219167,53
"ES1138A","O3",2012,"day","P50",34.391,"ES1138A","ES","Spain","CORUÑA (A)",-8.418889,43.367778,35
"ES1148A","O3",2012,"day","P50",42.875,"ES1148A","ES","Spain","SANT ADRIÀ DE BESÒS",2.22,41.433333,9
"ES1162A","O3",2012,"day","P50",58.917,"ES1162A","ES","Spain","MEDINA DEL CAMPO",-4.909167,41.316389,721
"ES1169A","O3",2012,"day","P50",62,"ES1169A","ES","Spain","SAN ROQUE",-5.391381,36.208789,51
"ES1181A","O3",2012,"day","P50",53.5,"ES1181A","ES","Spain","QUART DE POBLET",-0.447222,39.481111,41
"ES1182A","O3",2012,"day","P50",63.417,"ES1182A","ES","Spain","GANDIA",-0.19,38.966667,22
"ES1185A","O3",2012,"day","P50",56.833,"ES1185A","ES","Spain","SAGUNTO/SAGUNT",-0.234722,39.667222,10
"ES1193A","O3",2012,"day","P50",51.409,"ES1193A","ES","Spain","MADRID",-3.749167,40.42,645
"ES1201A","O3",2012,"day","P50",67.542,"ES1201A","ES","Spain","AGULLANA",2.843056,42.392778,217
"ES1208A","O3",2012,"day","P50",62.292,"ES1208A","ES","Spain","REUS",1.121389,41.152222,110
"ES1215A","O3",2012,"day","P50",65.25,"ES1215A","ES","Spain","AMPOSTA",0.582778,40.708056,8
"ES1217A","O3",2012,"day","P50",63.417,"ES1217A","ES","Spain","JUNEDA",0.810278,41.554167,264
"ES1222A","O3",2012,"day","P50",53.917,"ES1222A","ES","Spain","SANTA MARIA DE PALAUTORDERA",2.441944,41.693056,208
"ES1225A","O3",2012,"day","P50",51.792,"ES1225A","ES","Spain","LLEIDA",0.614167,41.63,220
"ES1231A","O3",2012,"day","P50",35.167,"ES1231A","ES","Spain","SANT CUGAT DEL VALLÈS",2.09,41.477778,124
"ES1239A","O3",2012,"day","P50",41.125,"ES1239A","ES","Spain","VALENCIA",-0.375833,39.456111,11
"ES1244A","O3",2012,"day","P50",35.875,"ES1244A","ES","Spain","BILBAO",-2.918333,43.2675,33
"ES1246A","O3",2012,"day","P50",66.917,"ES1246A","ES","Spain","EIVISSA",1.419444,38.916667,25
"ES1247A","O3",2012,"day","P50",68.917,"ES1247A","ES","Spain","EIVISSA",1.436667,38.908333,44
"ES1253A","O3",2012,"day","P50",61.333,"ES1253A","ES","Spain","BAILÉN",-3.783919,38.092931,368
"ES1258A","O3",2012,"day","P50",60.792,"ES1258A","ES","Spain","MOGUER",-6.833839,37.281561,52
"ES1262A","O3",2012,"day","P50",43.273,"ES1262A","ES","Spain","SABADELL",2.102778,41.562778,190
"ES1268A","O3",2012,"day","P50",44.25,"ES1268A","ES","Spain","OVIEDO",-5.864722,43.357778,276
"ES1269A","O3",2012,"day","P50",38.75,"ES1269A","ES","Spain","OVIEDO",-5.831389,43.367222,206
"ES1270A","O3",2012,"day","P50",38.25,"ES1270A","ES","Spain","GIJÓN",-5.656667,43.536111,10
"ES1271A","O3",2012,"day","P50",35.208,"ES1271A","ES","Spain","GIJÓN",-5.696111,43.541111,11
"ES1272A","O3",2012,"day","P50",35.75,"ES1272A","ES","Spain","GIJÓN",-5.705833,43.531111,12
"ES1275A","O3",2012,"day","P50",45.25,"ES1275A","ES","Spain","SANT CELONI",2.496667,41.69,143
"ES1277A","O3",2012,"day","P50",57.75,"ES1277A","ES","Spain","PUERTOLLANO",-4.106944,38.681667,675
"ES1278A","O3",2012,"day","P50",54.625,"ES1278A","ES","Spain","PUERTOLLANO",-4.109722,38.691111,705
"ES1279A","O3",2012,"day","P50",68.263,"ES1279A","ES","Spain","PUERTOLLANO",-4.088611,38.684444,685
"ES1285A","O3",2012,"day","P50",72.25,"ES1285A","ES","Spain","MURAS",-7.740278,43.536111,540
"ES1287A","O3",2012,"day","P50",62.5,"ES1287A","ES","Spain","GUARDO",-4.840833,42.795278,1120
"ES1297A","O3",2012,"day","P50",61.261,"ES1297A","ES","Spain","ROBLA (LA)",-5.623611,42.802778,945
"ES1298A","O3",2012,"day","P50",64.875,"ES1298A","ES","Spain","VILLAMURIEL DE CERRATO",-4.494444,41.961389,734
"ES1310A","O3",2012,"day","P50",74.524,"ES1310A","ES","Spain","PARDINES",2.22,42.313611,1226
"ES1311A","O3",2012,"day","P50",79.125,"ES1311A","ES","Spain","BEGUR",3.214444,41.96,200
"ES1320A","O3",2012,"day","P50",27.042,"ES1320A","ES","Spain","AVILÉS",-5.926667,43.580278,5
"ES1339A","O3",2012,"day","P50",60.292,"ES1339A","ES","Spain","VILANOVA I LA GELTRÚ",1.722778,41.220556,22
"ES1346A","O3",2012,"day","P50",51.833,"ES1346A","ES","Spain","MIRANDA DE EBRO",-2.940556,42.688056,471
"ES1347A","O3",2012,"day","P50",55.125,"ES1347A","ES","Spain","SANTA PAU",2.509444,42.146389,496
"ES1348A","O3",2012,"day","P50",64.625,"ES1348A","ES","Spain","BELLVER DE CERDANYA",1.778056,42.370278,1060
"ES1349A","O3",2012,"day","P50",28.652,"ES1349A","ES","Spain","LLODIO",-2.963333,43.144444,122
"ES1353A","O3",2012,"day","P50",46.458,"ES1353A","ES","Spain","LANGREO",-5.683333,43.296944,212
"ES1354A","O3",2012,"day","P50",56,"ES1354A","ES","Spain","VALLADOLID",-4.7325,41.6,706
"ES1358A","O3",2012,"day","P50",34.875,"ES1358A","ES","Spain","GIJÓN",-5.65,43.541667,7
"ES1359A","O3",2012,"day","P50",56.583,"ES1359A","ES","Spain","VILALBA",-7.693056,43.312778,465
"ES1363A","O3",2012,"day","P50",43.708,"ES1363A","ES","Spain","SIERO",-5.810833,43.403611,163
"ES1365A","O3",2012,"day","P50",64.883,"ES1365A","ES","Spain","PUERTOLLANO",-4.110278,38.703611,685
"ES1370A","O3",2012,"day","P50",66.292,"ES1370A","ES","Spain","MOTRIL",-3.5173,36.743119,50
"ES1378A","O3",2012,"day","P50",46.417,"ES1378A","ES","Spain","OVIEDO",-5.985,43.343333,250
"ES1379A","O3",2012,"day","P50",75.042,"ES1379A","ES","Spain","GANDESA",0.440833,41.059167,363
"ES1386A","O3",2012,"day","P50",60.083,"ES1386A","ES","Spain","CASTELLÓN DE LA PLANA/CASTELLÓ",-0.057222,40.012778,106
"ES1387A","O3",2012,"day","P50",66,"ES1387A","ES","Spain","ONDA",-0.233333,39.962778,163
"ES1393A","O3",2012,"day","P50",57.25,"ES1393A","ES","Spain","ALMERÍA",-2.446719,36.841331,51
"ES1397A","O3",2012,"day","P50",45,"ES1397A","ES","Spain","MANLLEU",2.288333,42.004722,460
"ES1400A","O3",2012,"day","P50",65.391,"ES1400A","ES","Spain","BUJARALOZ",-0.151944,41.505556,327
"ES1405A","O3",2012,"day","P50",81.667,"ES1405A","ES","Spain","VALLIBONA",0.009444,40.584722,1235
"ES1417A","O3",2012,"day","P50",69.667,"ES1417A","ES","Spain","HUESCA",-0.403889,42.136111,488
"ES1418A","O3",2012,"day","P50",53.083,"ES1418A","ES","Spain","ALAGÓN",-1.143333,41.762778,235
"ES1420A","O3",2012,"day","P50",60.875,"ES1420A","ES","Spain","MONZÓN",0.196944,41.918611,279
"ES1421A","O3",2012,"day","P50",63.542,"ES1421A","ES","Spain","TERUEL",-1.106667,40.336389,915
"ES1422A","O3",2012,"day","P50",38.042,"ES1422A","ES","Spain","MADRID",-3.703333,40.419167,657
"ES1423A","O3",2012,"day","P50",69.917,"ES1423A","ES","Spain","CARTAGENA",-1.064722,37.693611,80
"ES1424A","O3",2012,"day","P50",50.042,"ES1424A","ES","Spain","AVILÉS",-5.9275,43.558611,20
"ES1428A","O3",2012,"day","P50",49.417,"ES1428A","ES","Spain","CASTELLÓN DE LA PLANA/CASTELLÓ",-0.036111,39.959167,44
"ES1432A","O3",2012,"day","P50",46.042,"ES1432A","ES","Spain","CANGAS DEL NARCEA",-6.547222,43.177778,330
"ES1433A","O3",2012,"day","P50",43.208,"ES1433A","ES","Spain","SAN MARTÍN DEL REY AURELIO",-5.596111,43.275278,267
"ES1435A","O3",2012,"day","P50",78.667,"ES1435A","ES","Spain","VILLAFRANCA DEL CID",-0.249167,40.416667,1125
"ES1437A","O3",2012,"day","P50",85.625,"ES1437A","ES","Spain","POBLA DE BENIFASSÀ (LA)",0.084722,40.691667,1200
"ES1438A","O3",2012,"day","P50",33.125,"ES1438A","ES","Spain","BARCELONA",2.155278,41.386111,27
"ES1439A","O3",2012,"day","P50",51.458,"ES1439A","ES","Spain","VIGO",-8.746944,42.202778,26
"ES1441A","O3",2012,"day","P50",89.708,"ES1441A","ES","Spain","MORELLA",-0.091111,40.637222,1150
"ES1443A","O3",2012,"day","P50",60.708,"ES1443A","ES","Spain","BURGOS",-3.636111,42.336111,929
"ES1445A","O3",2012,"day","P50",68.167,"ES1445A","ES","Spain","CASTELLÓN DE LA PLANA/CASTELLÓ",0.010556,39.981944,10
"ES1449A","O3",2012,"day","P50",60.458,"ES1449A","ES","Spain","SALAMANCA",-5.658333,40.949722,797
"ES1450A","O3",2012,"day","P50",51.208,"ES1450A","ES","Spain","SEVILLA",-5.95165,37.398311,29
"ES1451A","O3",2012,"day","P50",46.208,"ES1451A","ES","Spain","PALMAS DE GRAN CANARIA (LAS)",-15.4075,28.032222,5
"ES1464A","O3",2012,"day","P50",39.318,"ES1464A","ES","Spain","PONTEVEDRA",-8.656944,42.421944,15
"ES1472A","O3",2012,"day","P50",54.565,"ES1472A","ES","Spain","PAMPLONA/IRUÑA",-1.651389,42.807222,449
"ES1479A","O3",2012,"day","P50",65.375,"ES1479A","ES","Spain","CÁDIZ",-6.268569,36.506019,4
"ES1480A","O3",2012,"day","P50",36.917,"ES1480A","ES","Spain","BARCELONA",2.154444,41.400278,75
"ES1489A","O3",2012,"day","P50",80.826,"ES1489A","ES","Spain","VALDEGOVÍA",-3.231389,42.875278,911
"ES1490A","O3",2012,"day","P50",35.917,"ES1490A","ES","Spain","DURANGO",-2.635833,43.172222,113
"ES1496A","O3",2012,"day","P50",40.174,"ES1496A","ES","Spain","ERRENTERIA",-1.899444,43.314444,23
"ES1501A","O3",2012,"day","P50",48.136,"ES1501A","ES","Spain","AZPEITIA",-2.268056,43.18,110
"ES1516A","O3",2012,"day","P50",59.583,"ES1516A","ES","Spain","PUERTO REAL",-6.225169,36.522831,1
"ES1518A","O3",2012,"day","P50",68.5,"ES1518A","ES","Spain","POLLENÇA",3.042222,39.844722,25
"ES1519A","O3",2012,"day","P50",54.167,"ES1519A","ES","Spain","SEVILLA",-5.980389,37.429861,21
"ES1521A","O3",2012,"day","P50",40.542,"ES1521A","ES","Spain","MADRID",-3.711389,40.478333,673
"ES1529A","O3",2012,"day","P50",52.292,"ES1529A","ES","Spain","SANTANDER",-3.790278,43.4675,30
"ES1530A","O3",2012,"day","P50",62.583,"ES1530A","ES","Spain","REINOSA",-4.135556,43.001111,850
"ES1531A","O3",2012,"day","P50",69.292,"ES1531A","ES","Spain","TOJOS (LOS)",-4.256944,43.153611,651
"ES1535A","O3",2012,"day","P50",68.667,"ES1535A","ES","Spain","ALBACETE",-1.956667,38.981667,686
"ES1536A","O3",2012,"day","P50",58.708,"ES1536A","ES","Spain","AZUQUECA DE HENARES",-3.263333,40.573611,662
"ES1537A","O3",2012,"day","P50",60.958,"ES1537A","ES","Spain","GUADALAJARA",-3.171667,40.629722,700
"ES1542A","O3",2012,"day","P50",71.125,"ES1542A","ES","Spain","SAN JORGE",0.372778,40.554722,181
"ES1543A","O3",2012,"day","P50",66.333,"ES1543A","ES","Spain","ZORITA DEL MAESTRAZGO",-0.169444,40.735,619
"ES1544A","O3",2012,"day","P50",53.917,"ES1544A","ES","Spain","SALVATIERRA O AGURAIN",-2.477222,42.849167,594
"ES1549A","O3",2012,"day","P50",65.542,"ES1549A","ES","Spain","EJIDO (EL)",-2.810969,36.769719,97
"ES1563A","O3",2012,"day","P50",50.792,"ES1563A","ES","Spain","ALCALÁ DE HENARES",-3.377778,40.479167,595
"ES1564A","O3",2012,"day","P50",55,"ES1564A","ES","Spain","ALCOBENDAS",-3.644722,40.540556,688
"ES1565A","O3",2012,"day","P50",49.292,"ES1565A","ES","Spain","FUENLABRADA",-3.801667,40.281111,699
"ES1567A","O3",2012,"day","P50",50.167,"ES1567A","ES","Spain","LEGANÉS",-3.735833,40.339722,676
"ES1568A","O3",2012,"day","P50",51.292,"ES1568A","ES","Spain","MÓSTOLES",-3.876389,40.324167,660
"ES1569A","O3",2012,"day","P50",82.625,"ES1569A","ES","Spain","LORCA",-1.701111,37.688889,340
"ES1572A","O3",2012,"day","P50",54.167,"ES1572A","ES","Spain","OVIEDO",-5.872778,43.372778,286
"ES1573A","O3",2012,"day","P50",42.167,"ES1573A","ES","Spain","PALMAS DE GRAN CANARIA (LAS)",-15.4275,28,9
"ES1576A","O3",2012,"day","P50",46.708,"ES1576A","ES","Spain","ASTILLERO (EL)",-3.838056,43.407222,16
"ES1577A","O3",2012,"day","P50",45.583,"ES1577A","ES","Spain","CAMARGO",-3.841111,43.420833,10
"ES1578A","O3",2012,"day","P50",58.75,"ES1578A","ES","Spain","CASTRO-URDIALES",-3.221389,43.382778,20
"ES1579A","O3",2012,"day","P50",40.333,"ES1579A","ES","Spain","CORRALES DE BUELNA (LOS)",-4.062778,43.264444,88
"ES1588A","O3",2012,"day","P50",63.083,"ES1588A","ES","Spain","PONTS",1.1925,41.91,370
"ES1589A","O3",2012,"day","P50",56.917,"ES1589A","ES","Spain","LEÓN",-5.564722,42.608889,838
"ES1591A","O3",2012,"day","P50",34.458,"ES1591A","ES","Spain","CARRACEDELO",-6.725556,42.558611,450
"ES1593A","O3",2012,"day","P50",72.35,"ES1593A","ES","Spain","SAN FERNANDO",-6.203069,36.460589,35
"ES1596A","O3",2012,"day","P50",52.458,"ES1596A","ES","Spain","VALLADOLID",-4.715,41.666389,694
"ES1597A","O3",2012,"day","P50",56.5,"ES1597A","ES","Spain","VALLADOLID",-4.741111,41.683333,753
"ES1598A","O3",2012,"day","P50",38.435,"ES1598A","ES","Spain","ZALLA",-3.134444,43.213056,62
"ES1599A","O3",2012,"day","P50",76.435,"ES1599A","ES","Spain","AIA",-2.155,43.250556,225
"ES1601A","O3",2012,"day","P50",57.31,"ES1601A","ES","Spain","BADAJOZ",-7.01145,38.887631,390
"ES1602A","O3",2012,"day","P50",53.167,"ES1602A","ES","Spain","LOGROÑO",-2.427778,42.463889,386
"ES1604A","O3",2012,"day","P50",58.029,"ES1604A","ES","Spain","PALMA DE MALLORCA",2.622778,39.563889,117
"ES1610A","O3",2012,"day","P50",59.183,"ES1610A","ES","Spain","PALMA DE MALLORCA",2.658056,39.5725,23
"ES1611A","O3",2012,"day","P50",56.125,"ES1611A","ES","Spain","ARANJUEZ",-3.590278,40.043611,501
"ES1612A","O3",2012,"day","P50",59.955,"ES1612A","ES","Spain","MAJADAHONDA",-3.867222,40.447778,730
"ES1613A","O3",2012,"day","P50",61.542,"ES1613A","ES","Spain","COLMENAR VIEJO",-3.772222,40.666389,905
"ES1615A","O3",2012,"day","P50",57.269,"ES1615A","ES","Spain","CÁCERES",-6.360278,39.472778,389
"ES1616A","O3",2012,"day","P50",67.58,"ES1616A","ES","Spain","TORIL",-5.939722,39.849167,376
"ES1617A","O3",2012,"day","P50",51.792,"ES1617A","ES","Spain","ALZIRA",-0.457778,39.15,60
"ES1619A","O3",2012,"day","P50",49.208,"ES1619A","ES","Spain","VALENCIA",-0.368333,39.478056,11
"ES1623A","O3",2012,"day","P50",77.333,"ES1623A","ES","Spain","ALCOY/ALCOI",-0.466944,38.706389,534
"ES1624A","O3",2012,"day","P50",71.958,"ES1624A","ES","Spain","ELCHE/ELX",-0.682778,38.242222,44
"ES1625A","O3",2012,"day","P50",61.083,"ES1625A","ES","Spain","BURJASSOT",-0.417778,39.509444,25
"ES1627A","O3",2012,"day","P50",63.917,"ES1627A","ES","Spain","ALCANTARILLA",-1.230833,37.975556,80
"ES1630A","O3",2012,"day","P50",67.167,"ES1630A","ES","Spain","MAIRENA DEL ALJARAFE",-6.042461,37.34075,50
"ES1632A","O3",2012,"day","P50",51.875,"ES1632A","ES","Spain","VALLADOLID",-4.746667,41.620556,690
"ES1633A","O3",2012,"day","P50",54.125,"ES1633A","ES","Spain","MURCIA",-1.144722,37.993611,40
"ES1635A","O3",2012,"day","P50",61.75,"ES1635A","ES","Spain","ALICANTE/ALACANT",-0.471944,38.359444,45
"ES1638A","O3",2012,"day","P50",53.542,"ES1638A","ES","Spain","SEVILLA",-5.979631,37.347189,26
"ES1640A","O3",2012,"day","P50",62.875,"ES1640A","ES","Spain","ALCALÁ DE GUADAIRA",-5.833719,37.342461,68
"ES1641A","O3",2012,"day","P50",59.869,"ES1641A","ES","Spain","ZARAGOZA",-0.893611,41.635278,220
"ES1642A","O3",2012,"day","P50",51.542,"ES1642A","ES","Spain","VIC",2.24,41.936667,498
"ES1643A","O3",2012,"day","P50",63.292,"ES1643A","ES","Spain","SORIA",-2.466667,41.766667,1090
"ES1644A","O3",2012,"day","P50",61.792,"ES1644A","ES","Spain","SEVILLA",-5.991489,37.388081,19
"ES1645A","O3",2012,"day","P50",47.417,"ES1645A","ES","Spain","MADRID",-3.575,40.474722,631
"ES1648A","O3",2012,"day","P50",68.043,"ES1648A","ES","Spain","BARRIOS (LOS)",-5.6635,36.233861,189
"ES1649A","O3",2012,"day","P50",66.687,"ES1649A","ES","Spain","ALFARO",-1.743333,42.175833,365
"ES1650A","O3",2012,"day","P50",34.391,"ES1650A","ES","Spain","LEMOA",-2.778611,43.211111,49
"ES1651A","O3",2012,"day","P50",41.792,"ES1651A","ES","Spain","MIERES",-5.772778,43.250833,206
"ES1653A","O3",2012,"day","P50",61.125,"ES1653A","ES","Spain","DOS HERMANAS",-5.913839,37.284489,49
"ES1654A","O3",2012,"day","P50",64.5,"ES1654A","ES","Spain","SAN NICOLÁS DEL PUERTO",-5.666869,37.99435,573
"ES1656A","O3",2012,"day","P50",58.583,"ES1656A","ES","Spain","JAÉN",-3.781569,37.78255,480
"ES1658A","O3",2012,"day","P50",63.167,"ES1658A","ES","Spain","HUELVA",-6.924619,37.271481,48
"ES1660A","O3",2012,"day","P50",71.917,"ES1660A","ES","Spain","ARGUEDAS",-1.585556,42.208333,475
"ES1661A","O3",2012,"day","P50",72.75,"ES1661A","ES","Spain","TUDELA",-1.626944,42.074722,383
"ES1662A","O3",2012,"day","P50",73.5,"ES1662A","ES","Spain","FUNES",-1.808333,42.308333,460
"ES1664A","O3",2012,"day","P50",57.625,"ES1664A","ES","Spain","ALGECIRAS",-5.453431,36.136231,24
"ES1666A","O3",2012,"day","P50",56.542,"ES1666A","ES","Spain","TARRAGONA",1.242778,41.118611,14
"ES1670A","O3",2012,"day","P50",75.708,"ES1670A","ES","Spain","CAUDETE DE LAS FUENTES",-1.281389,39.558611,804
"ES1671A","O3",2012,"day","P50",77.292,"ES1671A","ES","Spain","VILLAR DEL ARZOBISPO",-0.831944,39.708056,430
"ES1672A","O3",2012,"day","P50",66.957,"ES1672A","ES","Spain","ELCIEGO",-2.619444,42.518333,480
"ES1675A","O3",2012,"day","P50",78.167,"ES1675A","ES","Spain","BENIDORM",-0.146667,38.571389,44
"ES1677A","O3",2012,"day","P50",53.333,"ES1677A","ES","Spain","ORIHUELA",-0.852778,38.084722,32
"ES1679A","O3",2012,"day","P50",41.083,"ES1679A","ES","Spain","BARCELONA",2.176389,41.3875,5
"ES1684A","O3",2012,"day","P50",56.857,"ES1684A","ES","Spain","RUBÍ",2.043611,41.493333,200
"ES1685A","O3",2012,"day","P50",59.625,"ES1685A","ES","Spain","ALCORA (L')",-0.189722,40.051944,160
"ES1688A","O3",2012,"day","P50",51.542,"ES1688A","ES","Spain","BURRIANA",-0.065,39.892222,37
"ES1689A","O3",2012,"day","P50",67.708,"ES1689A","ES","Spain","CIRAT",-0.468333,40.054167,466
"ES1690A","O3",2012,"day","P50",58.792,"ES1690A","ES","Spain","TORRE ENDOMÉNECH",-0.078889,40.269444,259
"ES1691A","O3",2012,"day","P50",67.25,"ES1691A","ES","Spain","VIVER",-0.603333,39.930556,616
"ES1696A","O3",2012,"day","P50",40.571,"ES1696A","ES","Spain","DONOSTIA-SAN SEBASTIÁN",-1.984444,43.302778,88
"ES1697A","O3",2012,"day","P50",44.261,"ES1697A","ES","Spain","DONOSTIA-SAN SEBASTIÁN",-2.011111,43.309444,3
"ES1709A","O3",2012,"day","P50",59.625,"ES1709A","ES","Spain","BENIGÁNIM",-0.441389,38.934722,195
"ES1711A","O3",2012,"day","P50",78.083,"ES1711A","ES","Spain","ONTINYENT",-0.697222,38.788056,510
"ES1713A","O3",2012,"day","P50",44.913,"ES1713A","ES","Spain","BILBAO",-2.902222,43.255,76
"ES1718A","O3",2012,"day","P50",73.917,"ES1718A","ES","Spain","VILLANUEVA DEL ARZOBISPO",-3.010219,38.169431,692
"ES1740A","O3",2012,"day","P50",42.958,"ES1740A","ES","Spain","PAMPLONA/IRUÑA",-1.64,42.812222,455
"ES1741A","O3",2012,"day","P50",47.25,"ES1741A","ES","Spain","SAN BARTOLOMÉ DE TIRAJANA",-15.5625,27.764722,17
"ES1742A","O3",2012,"day","P50",61.833,"ES1742A","ES","Spain","SAN BARTOLOMÉ DE TIRAJANA",-15.541111,27.773889,18
"ES1745A","O3",2012,"day","P50",65.875,"ES1745A","ES","Spain","AGÜIMES",-15.442222,27.898333,286
"ES1746A","O3",2012,"day","P50",74.25,"ES1746A","ES","Spain","GALILEA",-2.231667,42.341667,584
"ES1747A","O3",2012,"day","P50",47.583,"ES1747A","ES","Spain","PAMPLONA/IRUÑA",-1.649444,42.826944,418
"ES1750A","O3",2012,"day","P50",58.333,"ES1750A","ES","Spain","MÁLAGA",-4.4475,36.719639,36
"ES1751A","O3",2012,"day","P50",69.25,"ES1751A","ES","Spain","MÁLAGA",-4.465531,36.729561,86
"ES1752A","O3",2012,"day","P50",56.957,"ES1752A","ES","Spain","TORREJÓN DE ARDOZ",-3.484167,40.455,597
"ES1753A","O3",2012,"day","P50",60.167,"ES1753A","ES","Spain","PRADEJÓN",-2.059722,42.34,402
"ES1754A","O3",2012,"day","P50",82.833,"ES1754A","ES","Spain","SÉNIA (LA)",0.288889,40.645,428
"ES1755A","O3",2012,"day","P50",66.042,"ES1755A","ES","Spain","SANGÜESA/ZANGOZA",-1.2825,42.580556,397
"ES1756A","O3",2012,"day","P50",60.875,"ES1756A","ES","Spain","CANDELARIA",-16.360278,28.377778,10
"ES1759A","O3",2012,"day","P50",59.042,"ES1759A","ES","Spain","SANTA CRUZ DE TENERIFE",-16.278056,28.449444,180
"ES1764A","O3",2012,"day","P50",74.75,"ES1764A","ES","Spain","CANDELARIA",-16.371111,28.381944,200
