"station_european_code","component_caption","statistics_year","statistics_average_group","statistic_shortname","statistic_value","station_european_code","country_iso_code","country_name","station_city","longitude","latitude","altitude"
"AT80706","O3",2012,"day","P50",49.703,"AT80706","AT","Austria","LUSTENAU",9.652781,47.410835,410
"AT10007","O3",2012,"day","P50",57.408,"AT10007","AT","Austria","MANNERSDORF AN DER RABNITZ",16.53,47.43,240
"AT60156","O3",2012,"day","P50",77.24,"AT60156","AT","Austria","",15.881958,47.348053,1137
"AT31301","O3",2012,"day","P50",59.213,"AT31301","AT","Austria","MISTELBACH",16.58057,48.578609,250
"AT31401","O3",2012,"day","P50",55.93,"AT31401","AT","Austria","MÖDLING",16.302244,48.086109,210
"AT60194","O3",2012,"day","P50",44.838,"AT60194","AT","Austria","MÜRZZUSCHLAG",15.673061,47.604721,679
"AT10002","O3",2012,"day","P50",55.126,"AT10002","AT","Austria","",16.193064,47.304167,330
"AT2SP10","O3",2012,"day","P50",48.642,"AT2SP10","AT","Austria","",13.195567,46.935558,686
"AT31502","O3",2012,"day","P50",75.01,"AT31502","AT","Austria","",15.854726,47.670002,890
"AT0PIL1","O3",2012,"day","P50",65.619,"AT0PIL1","AT","Austria","",15.94223,48.721111,315
"AT30065","O3",2012,"day","P50",45.436,"AT30065","AT","Austria","PURKERSDORF",16.175564,48.207222,248
"AT31204","O3",2012,"day","P50",46.624,"AT31204","AT","Austria","PÖCHLARN",15.207228,48.213055,216
"AT60150","O3",2012,"day","P50",82.657,"AT60150","AT","Austria","",15.360842,47.405003,1620
"AT51200","O3",2012,"day","P50",41.987,"AT51200","AT","Austria","SALZBURG",13.03001,47.81805,455
"AT51066","O3",2012,"day","P50",41.297,"AT51066","AT","Austria","SALZBURG",13.046123,47.80611,430
"AT32701","O3",2012,"day","P50",53.034,"AT32701","AT","Austria","SCHWECHAT",16.474451,48.145,155
"AT0SON1","O3",2012,"day","P50",97.151,"AT0SON1","AT","Austria","",12.958342,47.054443,3106
"AT2SP18","O3",2012,"day","P50",33.985,"AT2SP18","AT","Austria","SPITTAL AN DER DRAU",13.495567,46.801666,560
"AT2WO35","O3",2012,"day","P50",54.26,"AT2WO35","AT","Austria","",14.891953,46.708057,540
"AT54057","O3",2012,"day","P50",36.863,"AT54057","AT","Austria","ST. JOHANN I.P.",13.205839,47.348888,620
"AT52055","O3",2012,"day","P50",77.644,"AT52055","AT","Austria","",13.233334,47.650558,1005
"AT32301","O3",2012,"day","P50",45.361,"AT32301","AT","Austria","SANKT POELTEN",15.63168,48.211391,270
"AT30104","O3",2012,"day","P50",41.836,"AT30104","AT","Austria","ST. VALENTIN",14.545568,48.18,295
"AT4S409","O3",2012,"day","P50",43.162,"AT4S409","AT","Austria","STEYR",14.440561,48.050831,307
"AT4S173","O3",2012,"day","P50",37.517,"AT4S173","AT","Austria","STEYREGG",14.365848,48.278889,250
"AT30302","O3",2012,"day","P50",61.212,"AT30302","AT","Austria","",16.676674,48.050831,210
"AT30902","O3",2012,"day","P50",43.092,"AT30902","AT","Austria","STOCKERAU",16.21446,48.38833,186
"AT31904","O3",2012,"day","P50",52.931,"AT31904","AT","Austria","",15.936114,48.276665,220
"AT80503","O3",2012,"day","P50",78.873,"AT80503","AT","Austria","",9.926675,47.529167,1020
"AT55032","O3",2012,"day","P50",43.964,"AT55032","AT","Austria","TAMSWEG",13.806951,47.125832,1025
"AT4S404","O3",2012,"day","P50",40.057,"AT4S404","AT","Austria","LINZ",14.238894,48.225277,274
"AT31901","O3",2012,"day","P50",48.003,"AT31901","AT","Austria","TULLN",16.05945,48.33139,290
"AT60107","O3",2012,"day","P50",39.383,"AT60107","AT","Austria","VOITSBERG",15.15,47.044998,390
"AT0VOR1","O3",2012,"day","P50",70.918,"AT0VOR1","AT","Austria","",12.971947,46.679722,1020
"AT82801","O3",2012,"day","P50",43.446,"AT82801","AT","Austria","DALAAS",10.046956,47.127777,940
"AT60181","O3",2012,"day","P50",46.697,"AT60181","AT","Austria","WEIZ",15.625286,47.221111,468
"AT4S406","O3",2012,"day","P50",40.395,"AT4S406","AT","Austria","WELS",14.035578,48.165001,316
"AT9JAEG","O3",2012,"day","P50",66.228,"AT9JAEG","AT","Austria","WIEN",16.298903,48.271111,520
"AT900ZA","O3",2012,"day","P50",53.594,"AT900ZA","AT","Austria","WIEN",16.357784,48.249168,207
"AT90LAA","O3",2012,"day","P50",52.765,"AT90LAA","AT","Austria","WIEN",16.392786,48.161392,250
"AT90LOB","O3",2012,"day","P50",48.655,"AT90LOB","AT","Austria","WIEN",16.526674,48.162502,150
"AT9STEF","O3",2012,"day","P50",51.031,"AT9STEF","AT","Austria","WIEN",16.373894,48.208889,173
